Country Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,258.8305367,274.3894238,294.9046567,283.3822853,284.9669776,292.4253474,292.0788195,322.0873898,387.3848632,395.3180524,401.9651801,404.4861431,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5209416,776.8595769,856.3818868,876.8180068,973.7739002,1108.514957,1236.004398,1659.962489,1815.610191,1963.412707,2122.078386,2233.305893,2457.924049,2688.30395
Barbados,7005.502809,7753.02566,7772.808757,7789.391377,7520.79074,7905.676802,8220.27611,8451.958599,8994.324063,9491.475434,10685.26061,11173.94937,11560.2459,11510.04043,11658.62904,11998.17569,12828.43895,14173.75138,15595.63946,17219.04868,17550.66334,16310.46053,16489.79582,16907.20926,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658,17225.4623,20018.51515
Belarus,,,2124.767944,1765.735895,1667.605057,1590.088117,1460.0655,1370.699283,1452.507105,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.383417,1819.525792,2378.339757,3126.071767,3848.216026,4735.484753,6376.183153,5352.489591,6034.678852,6527.654969,6953.217307,7998.077953,8341.288104,5967.069185,5039.776032,5785.534975,6360.05206,6837.767232,6542.86454,7489.718947,7904.856243
Belgium,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.71166,45517.90382,51268.38804,49582.82536
Belize,1831.019639,2065.720309,3009.491262,3212.450794,3644.265078,3867.605329,3888.295299,4021.006504,4057.853603,3997.84448,4063.901968,4189.350028,4642.147035,4687.625957,4816.650846,4916.703914,5106.053034,5212.661614,5475.72291,5707.113365,5656.408361,5348.997839,5397.291575,5521.366276,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309,6968.361585
Benin,335.3419233,301.6849303,381.8050563,375.2919959,310.6237201,398.6130266,269.7905871,358.8229871,380.5882867,355.1420716,372.8773468,541.702259,502.997981,508.3474475,564.3790581,698.4087771,784.1190746,805.9046858,837.1320026,944.6431712,1098.946678,1061.718359,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1361.100749,1303.222014
Bermuda,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,111774.6691,118845.6211
Bhutan,514.6915137,486.5752425,515.2997216,423.2694201,440.0332783,433.8656076,496.7860644,550.6562335,564.486939,644.0878065,652.3610292,699.3313305,722.8267562,765.0092339,841.3663104,951.7391671,1050.133115,1201.433648,1299.631249,1714.031072,1780.112218,1768.745957,2194.12587,2491.273456,2470.072136,2409.439989,2589.899141,2695.636904,2879.546572,3240.706326,3210.707814,3303.962309,3009.925516,3266.362774,
Bolivia,675.7148311,678.6413185,685.9427177,737.5213733,763.2606742,760.1176224,777.416092,856.3651129,925.8491189,973.9625705,1025.409433,981.7529219,977.3294704,930.8757313,888.198576,892.3553805,951.9516229,1018.313662,1200.068092,1351.035154,1687.578567,1725.146286,1922.058662,2304.982295,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.196588,3523.273733
Bosnia and Herzegovina,,,,,,,333.7831793,497.6828466,712.9536456,907.1488704,1000.417072,1128.398647,1332.210523,1382.767724,1602.56371,2031.402244,2451.577258,2741.080141,3170.174873,3936.932459,4846.792101,4542.310904,4506.933669,4980.906155,4688.345902,5025.240652,5196.969426,4654.609552,4917.263698,5327.393184,6024.491546,6094.723214,6095.102479,7230.198163,7585.375002
Botswana,2096.736376,2369.125814,2825.725034,2855.948898,2918.617005,2844.99575,2832.812881,3064.586353,3063.994873,3100.165355,2893.328745,3242.13716,3351.696517,3115.679,3029.788522,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848491,4938.250136,6041.732051,7080.778297,6392.987347,6436.603063,6844.032996,5869.737772,6411.551666,6705.341062,6947.817841,6691.161051,5875.070606,7238.796096,7737.654681
Brazil,2119.611081,2790.414204,3085.396216,2659.048558,2505.225033,2766.328477,3393.142926,4704.961546,5121.905407,5240.128796,5049.76612,3456.423595,3726.81142,3142.235528,2824.715396,3056.64968,3623.223905,4773.26848,5866.024313,7323.19034,8801.759475,8569.901805,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,6923.700197,7696.785531,8917.673898
Brunei,10949.80293,11762.35127,13440.66682,13717.38749,15080.7228,14420.59001,14000.44453,15827.98736,16706.47133,16593.4344,12653.81192,14065.70228,17971.88881,16437.42662,16817.23573,18521.36258,21839.25931,25991.2062,30767.74738,32337.28152,37427.54886,27497.5417,34609.69996,46139.10684,46844.19672,43950.05706,41035.77314,30681.43744,26762.03743,28186.98339,31241.02397,30748.32019,27179.34442,31448.91361,37152.46624
Bulgaria,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.54442,1148.494399,2259.264831,1470.195347,1361.409249,1820.44832,1659.718611,1621.262107,1770.906779,2092.982886,2719.494892,3389.687613,3899.825138,4523.147525,5888.776852,7271.305201,6988.274819,6862.757687,7856.985958,7431.014045,7686.629222,7912.52054,7081.102336,7574.191264,8386.589202,9451.85087,9878.768872,10153.4766,12222.23565,13772.47679
