,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Duration (d), Education, Agriculture, Health sector, Water supply, Communications, Transportation, Power and Energy, Relief,Country, Education centers, Hospitals,Updated Event Name,Mapped Event Categories
69,1968/06,FLOOD,2,0,0,0,0,0,40,0,0,0,0,200000,0,2,0,1,0,1,1,2,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
70,1968/06,STRONGWIND,1,2,40,0,32,0,0,0,0,0,0,10000,0,1,0,1,1,0,1,1,0,1,Dominican Republic,0,0,STORM,HYDROLOGICAL
71,1968/07,ACCIDENT,2,2,2,0,0,0,0,3,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
72,1968/07,EXPLOSION,2,2,3,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
73,1968/07,FIRE,1,0,0,0,0,0,0,0,0,0,0,400,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
76,1968/07,STRONGWIND,2,0,0,0,8,2,0,0,0,0,0,1000000,0,2,0,1,0,0,1,1,1,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
77,1968/08,DROUGHT,4,0,0,0,0,0,0,2500,0,0,0,200000,0,4,0,3,1,0,0,0,0,0,Dominican Republic,0,0,DROUGHT,NATURAL DISASTERS
78,1968/08,ELECTRICSTORM,1,2,7,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
79,1968/08,EPIDEMIC,1,7,0,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
81,1968/08,INTOXICACIÓN,1,0,15,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
83,1968/09,FIRE,1,0,0,0,0,0,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
85,1968/09,RAIN,1,0,0,0,0,0,0,0,0,0,0,1000,0,1,0,0,0,1,0,0,0,0,Dominican Republic,0,0,RAIN,HYDROLOGICAL
86,1968/10,EPIDEMIC,3,2,0,0,0,0,0,0,0,0,0,200000,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
87,1968/10,PLAGUE,1,0,0,0,0,0,0,0,0,0,0,3500000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,PLAGUE,HEALTH
90,1968/12,FLOOD,1,22,0,0,100,0,500,0,0,0,0,200000,0,1,0,1,0,0,1,1,1,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
92,1969/06,FIRE,1,0,0,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
93,1969/09,ACCIDENT,1,0,1,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
95,1970/01,EPIDEMIC,4,111,0,0,0,0,0,0,0,0,0,200000,0,4,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
96,1970/01,FIRE,3,0,0,0,0,0,0,0,0,0,0,83200,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
99,1970/02,FLOOD,2,0,0,0,1,0,0,0,0,0,0,200000,0,2,0,1,0,0,0,2,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
101,1970/03,FIRE,4,0,1,0,5,0,0,0,0,0,0,41000,0,4,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
102,1970/03,INTOXICACIÓN,1,0,16,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
103,1970/04,FIRE,8,0,0,0,12,0,0,0,0,0,0,66700,0,8,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
104,1970/05,ACCIDENT,1,1,1,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
105,1970/05,FIRE,5,2,19,0,8,0,0,0,0,0,0,21900,0,5,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
106,1970/05,FLOOD,10,0,0,7,0,1000,0,0,0,0,0,200000,0,10,0,8,0,0,0,9,3,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
108,1970/06,FLOOD,7,0,0,0,1,0,5000,0,0,0,0,80000,0,7,0,6,0,0,0,4,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
110,1970/06,STRONGWIND,1,0,0,0,8,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
111,1970/07,FIRE,1,0,1,0,0,0,0,0,0,0,0,50000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
113,1970/09,FIRE,2,0,0,0,1,0,0,0,0,0,0,12500,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
114,1970/10,FIRE,1,0,0,0,2,2,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
115,1970/10,FLOOD,1,0,0,0,10,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
117,1970/10,STRONGWIND,1,0,0,0,4,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
118,1970/11,FIRE,1,0,0,0,1,0,0,0,0,0,0,2450,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
119,1970/11,FLOOD,3,0,0,0,0,0,0,0,0,0,0,120000,0,5,0,1,0,0,0,1,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
120,1970/12,FLOOD,1,0,0,0,1,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
121,1971/01,FIRE,1,0,1,0,1,2,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
122,1971/03,FIRE,1,2,0,0,4,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
124,1971/04,PLAGUE,1,0,0,0,0,0,0,0,0,0,0,10000,250,1,0,1,0,0,0,0,0,0,Dominican Republic,0,0,PLAGUE,HEALTH
125,1971/05,FLOOD,2,2,0,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,1,1,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
126,1971/07,FIRE,1,0,2,0,2,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
128,1971/10,FIRE,3,1,1,0,4,0,0,0,0,0,0,108000,10,3,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
130,1971/12,FIRE,5,0,0,0,3,0,0,0,0,0,0,215000,0,5,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
131,1971/12,FLOOD,1,0,1,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,1,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
133,1972/03,FIRE,1,0,0,0,2,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
136,1972/04,FIRE,2,0,20,0,100,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
137,1972/05,FIRE,3,0,3,0,2,2,0,0,0,0,0,20000,0,3,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
138,1972/05,FLOOD,5,13,0,7,0,0,0,0,0,100,0,100000,0,13,0,2,0,0,0,1,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
139,1972/05,SPATE,1,0,0,0,0,0,0,0,0,0,0,500000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
